
*************************************************************************************

09.10.2020 04:54:47.732 действие: Энергия корабля уменьшена на 3 единиц, и равна 100 

*************************************************************************************

09.10.2020 04:57:38.742 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:38.805 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:38.863 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:38.931 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:38.988 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.050 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.116 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.180 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.240 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.297 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.362 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.425 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.490 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.547 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.611 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.672 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.742 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.798 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.859 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.927 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:39.986 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.050 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.116 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.181 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.235 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.296 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.359 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.424 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.491 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.550 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.617 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.674 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.738 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 04:57:40.801 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
